Bin;Frequency
15:59;87
16:00;325
16:01;364
16:02;313
16:03;192
16:04;172
16:05;321
16:06;284
16:07;200
16:08;218
16:09;199
16:10;185
16:11;145
16:12;187
16:13;166
16:14;508
16:15;820
16:16;684
16:17;523
16:18;429
16:19;374
16:20;337
16:21;287
16:22;288
16:23;289
16:24;291
16:25;257
16:26;252
16:27;251
16:28;242
16:29;219
16:30;221
16:31;248
16:32;385
16:33;495
16:34;375
16:35;387
16:36;302
16:37;300
16:38;305
16:39;225
16:40;206
16:41;198
16:42;232
16:43;159
16:44;169
16:45;209
16:46;206
16:47;242
16:48;249
16:49;254
16:50;435
16:51;434
16:52;370
16:53;355
16:54;329
16:55;340
16:56;251
16:57;243
16:58;231
16:59;223
17:00;230
17:01;194
17:02;224
17:03;247
17:04;229
17:05;274
17:06;172
17:07;145
17:08;156
17:09;175
17:10;133
17:11;152
17:12;163
17:13;698
17:14;767
17:15;709
17:16;602
17:17;552
17:18;423
17:19;603
17:20;486
17:21;430
17:22;331
17:23;296
17:24;319
17:25;275
17:26;240
17:27;305
17:28;272
17:29;377
17:30;838
17:31;691
17:32;617
17:33;415
17:34;387
17:35;312
17:36;335
17:37;274
17:38;225
17:39;263
17:40;357
17:41;233
17:42;245
17:43;218
17:44;238
17:45;186
17:46;256
17:47;222
17:48;320
17:49;375
17:50;356
17:51;187
